"Site","Name","Last Logon","OperatingSystem","DistinguishedName"
"","CNS-WP-LINE1","2/15/2017 5:58:06 AM","Windows 8.1 Enterprise","CN=CNS-WP-LINE1,CN=Computers,DC=smusd,DC=local"
"","LCME-LT-809263","2/16/2017 3:33:01 PM","Windows 10 Enterprise","CN=LCME-LT-809263,CN=Computers,DC=smusd,DC=local"
"","MHHS-MDT-TEST","2/21/2017 2:56:31 PM","Windows 10 Enterprise","CN=MHHS-MDT-TEST,CN=Computers,DC=smusd,DC=local"
"","MHHS-NVR","10/25/2016 12:35:34 PM","Windows Server 2008 R2 Standard","CN=MHHS-NVR,OU=ONSSI,DC=smusd,DC=local"
"","SEMS-ONSSI-WS1","2/21/2017 2:36:44 PM","Windows 7 Professional","CN=SEMS-ONSSI-WS1,OU=ONSSI,DC=smusd,DC=local"
"","SERVER2012R2","2/23/2017 5:46:13 AM","Windows Server 2012 R2 Standard","CN=SERVER2012R2,OU=Servers,DC=smusd,DC=local"
"","SERVER-BOX","12/1/2016 1:25:54 PM","Windows Server 2008 R2 Standard","CN=SERVER-BOX,OU=Servers,DC=smusd,DC=local"
"","SERVER-TEST","12/1/2016 1:20:47 PM","Windows Server 2008 R2 Standard","CN=SERVER-TEST,OU=Servers,DC=smusd,DC=local"
"","SMUSD-PM","12/16/2016 9:50:14 AM","Windows Server 2008 R2 Standard","CN=SMUSD-PM,OU=Servers,DC=smusd,DC=local"
"","SMUSDVC02","12/31/2016 7:15:21 PM","Windows Server 2008 R2 Standard","CN=SMUSDVC02,OU=Servers,DC=smusd,DC=local"
"","TOHS-VM-WDS","1/19/2017 8:54:02 AM","Windows Server 2008 R2 Enterprise","CN=TOHS-VM-WDS,OU=Servers,DC=smusd,DC=local"
"","WIN7","9/7/2016 9:41:57 AM","Windows 7 Enterprise","CN=WIN7,CN=Users,DC=smusd,DC=local"
"AD","ADES-CRT-719496","9/27/2016 2:32:16 PM","Windows 7 Enterprise","CN=ADES-CRT-719496,OU=Carts,OU=Teachers,OU=Laptops,OU=Systems,OU=AD,OU=SMUSD,DC=smusd,DC=local"
"AD","ADES-DO-802038","11/28/2016 10:51:28 AM","Windows 7 Enterprise","CN=ADES-DO-802038,OU=Support Staff,OU=Laptops,OU=Systems,OU=AD,OU=SMUSD,DC=smusd,DC=local"
"AD","ADES-LT-804720","1/26/2017 3:23:46 PM","Windows 7 Enterprise","CN=ADES-LT-804720,OU=Room14,OU=Students,OU=Laptops,OU=Systems,OU=AD,OU=SMUSD,DC=smusd,DC=local"
"AD","ADES-LT-806447","2/3/2017 8:18:44 AM","Windows 7 Enterprise","CN=ADES-LT-806447,OU=Room14,OU=Students,OU=Laptops,OU=Systems,OU=AD,OU=SMUSD,DC=smusd,DC=local"
"AD","ADES-LT-806449","1/26/2017 3:23:22 PM","Windows 7 Enterprise","CN=ADES-LT-806449,OU=Room14,OU=Students,OU=Laptops,OU=Systems,OU=AD,OU=SMUSD,DC=smusd,DC=local"
"AD","ADES-LT-806450","2/3/2017 8:19:09 AM","Windows 7 Enterprise","CN=ADES-LT-806450,OU=Room14,OU=Students,OU=Laptops,OU=Systems,OU=AD,OU=SMUSD,DC=smusd,DC=local"
"AD","ADES-LT-806451","1/26/2017 3:22:34 PM","Windows 7 Enterprise","CN=ADES-LT-806451,OU=Room14,OU=Students,OU=Laptops,OU=Systems,OU=AD,OU=SMUSD,DC=smusd,DC=local"
